ag-cell-content-link,ag-cell-content-link href,ag-cell-content 3,ag-cell-content 6,ag-cell-content 7,ag-cell-content 8,ag-cell-content 9,ag-cell-content 10,ag-cell-content 11,ag-cell-content 12,ag-cell-content 13
Visakhapatnam,https://www.marinetraffic.com/en/ais/details/ports/3048/name=Visakhapatnam,33,1.2 days,HIGH,2.2 days,HIGH,3.0 days,4.3 days,20.0%,-8.3%
Vadinar,https://www.marinetraffic.com/en/ais/details/ports/559/name=Vadinar,33,0.8 days,MEDIUM,1.8 days,MEDIUM,1.7 days,0.7 days,60.0%,38.5%
Tuticorin,https://www.marinetraffic.com/en/ais/details/ports/2986/name=Tuticorin,33,0.5 days,LOW,2.0 days,LOW,0.8 days,1.8 days,150.0%,33.3%
Sikka,https://www.marinetraffic.com/en/ais/details/ports/560/name=Sikka,33,1.4 days,LOW,1.5 days,LOW,1.9 days,10.3 days,-30.0%,-6.3%
Port blair,https://www.marinetraffic.com/en/ais/details/ports/21891/name=Port-blair,33,MEDIUM,1.0 days,MEDIUM,1.9 days,42.9%,-,-,-
Porbandar,https://www.marinetraffic.com/en/ais/details/ports/538/name=Porbandar,33,0.4 days,MEDIUM,2.0 days,MEDIUM,-50.0%,-,-,-
Pipavav,https://www.marinetraffic.com/en/ais/details/ports/533/name=Pipavav,33,0.2 days,LOW,0.5 days,LOW,0.1 days,0.7 days,-91.7%,-54.5%
Nhava sheva,https://www.marinetraffic.com/en/ais/details/ports/2713/name=Nhava-sheva,33,1.1 days,LOW,1.0 days,LOW,9.3 days,4.8 days,57.1%,11.1%
Navlakhi,https://www.marinetraffic.com/en/ais/details/ports/21448/name=Navlakhi,33,0.3 days,HIGH,1.1 days,HIGH,0.1 days,1.2 days,-66.7%,10.0%
Mundra,https://www.marinetraffic.com/en/ais/details/ports/268/name=Mundra,33,0.3 days,HIGH,1.1 days,HIGH,0.6 days,1.2 days,0.0%,10.0%
Mumbai,https://www.marinetraffic.com/en/ais/details/ports/2341/name=Mumbai,33,0.8 days,LOW,0.9 days,LOW,3.9 days,4.5 days,-11.1%,-25.0%
Mormugao,https://www.marinetraffic.com/en/ais/details/ports/561/name=Mormugao,33,0.3 days,LOW,2.3 days,LOW,0.7 days,1.8 days,-88.5%,-34.3%
Mangalore,https://www.marinetraffic.com/en/ais/details/ports/17383/name=Mangalore,33,0.8 days,HIGH,1.6 days,HIGH,2.5 days,4.0 days,-27.3%,6.7%
Magdalla,https://www.marinetraffic.com/en/ais/details/ports/19704/name=Magdalla,33,0.2 days,LOW,0.5 days,LOW,0.3 days,0.3 days,-94.7%,-50.0%
Krishnapatnam,https://www.marinetraffic.com/en/ais/details/ports/1317/name=Krishnapatnam,33,0.2 days,LOW,2.6 days,LOW,1.8 days,5.1 days,-66.7%,44.4%
Kolkata,https://www.marinetraffic.com/en/ais/details/ports/2806/name=Kolkata,33,0.8 days,HIGH,3.9 days,HIGH,0.5 days,1.8 days,60.0%,-29.1%
Kochi,https://www.marinetraffic.com/en/ais/details/ports/2990/name=Kochi,33,0.2 days,LOW,1.1 days,LOW,0.4 days,5.3 days,-33.3%,22.2%
