ag-cell-content-link,ag-cell-content-link href,ag-cell-content 3,ag-cell-content 6,ag-cell-content 7,ag-cell-content 8,ag-cell-content 9,ag-cell-content 10,ag-cell-content 11,ag-cell-content 12,ag-cell-content 13
Visakhapatnam,https://www.marinetraffic.com/en/ais/details/ports/3048/name=Visakhapatnam,12,0.6 days,LOW,2.0 days,LOW,1.9 days,1.5 days,200.0%,-20.0%
Vadinar,https://www.marinetraffic.com/en/ais/details/ports/559/name=Vadinar,12,0.3 days,HIGH,1.3 days,HIGH,1.9 days,0.4 days,-70.0%,0.0%
Tuticorin,https://www.marinetraffic.com/en/ais/details/ports/2986/name=Tuticorin,12,0.5 days,LOW,1.6 days,LOW,1.6 days,1.3 days,0.0%,-20.0%
Sikka,https://www.marinetraffic.com/en/ais/details/ports/560/name=Sikka,12,1.9 days,LOW,1.4 days,LOW,2.1 days,0.7 days,18.8%,-17.6%
Ratnagiri,https://www.marinetraffic.com/en/ais/details/ports/18952/name=Ratnagiri,12,1.0 days,MEDIUM,0.5 days,MEDIUM,11.1%,-54.5%,-,-
Ranpar,https://www.marinetraffic.com/en/ais/details/ports/18953/name=Ranpar,12,0.8 days,MEDIUM,1.1 days,MEDIUM,0.1 days,1.2 days,300.0%,0.0%
Port blair,https://www.marinetraffic.com/en/ais/details/ports/21891/name=Port-blair,12,MEDIUM,5.2 days,MEDIUM,2.5 days,333.3%,-,-,-
Porbandar,https://www.marinetraffic.com/en/ais/details/ports/538/name=Porbandar,12,2.3 days,MEDIUM,2.2 days,MEDIUM,0.2 days,15.0%,4.8%,-
Pipavav,https://www.marinetraffic.com/en/ais/details/ports/533/name=Pipavav,12,0.6 days,LOW,0.6 days,LOW,0.5 days,1.1 days,0.0%,-25.0%
Paradip,https://www.marinetraffic.com/en/ais/details/ports/17379/name=Paradip,12,1.9 days,HIGH,1.8 days,HIGH,2.9 days,2.1 days,-9.5%,0.0%
Okha,https://www.marinetraffic.com/en/ais/details/ports/558/name=Okha,12,5.3 days,MEDIUM,3.1 days,MEDIUM,35.9%,-24.4%,-,-
Nhava sheva,https://www.marinetraffic.com/en/ais/details/ports/2713/name=Nhava-sheva,12,0.4 days,MEDIUM,1.0 days,MEDIUM,3.8 days,1.8 days,0.0%,0.0%
Navlakhi,https://www.marinetraffic.com/en/ais/details/ports/21448/name=Navlakhi,12,0.9 days,HIGH,1.4 days,HIGH,0.6 days,1.0 days,-10.0%,-22.2%
Mundra,https://www.marinetraffic.com/en/ais/details/ports/268/name=Mundra,12,0.1 days,HIGH,1.0 days,HIGH,0.5 days,1.3 days,0.0%,0.0%
Mumbai,https://www.marinetraffic.com/en/ais/details/ports/2341/name=Mumbai,12,0.6 days,HIGH,1.7 days,HIGH,3.2 days,17.2 days,-14.3%,-5.6%
Mormugao,https://www.marinetraffic.com/en/ais/details/ports/561/name=Mormugao,12,1.5 days,LOW,1.6 days,LOW,1.4 days,1.8 days,114.3%,-40.7%
Mangalore,https://www.marinetraffic.com/en/ais/details/ports/17383/name=Mangalore,12,1.0 days,LOW,1.8 days,LOW,2.0 days,0.9 days,100.0%,12.5%
Magdalla,https://www.marinetraffic.com/en/ais/details/ports/19704/name=Magdalla,12,0.4 days,HIGH,0.6 days,HIGH,0.3 days,0.3 days,33.3%,20.0%
Krishnapatnam,https://www.marinetraffic.com/en/ais/details/ports/1317/name=Krishnapatnam,12,0.4 days,LOW,3.1 days,LOW,1.5 days,1.5 days,0.0%,29.2%
Kolkata,https://www.marinetraffic.com/en/ais/details/ports/2806/name=Kolkata,12,1.0 days,MEDIUM,2.9 days,MEDIUM,0.6 days,1.8 days,-16.7%,3.6%
Kochi,https://www.marinetraffic.com/en/ais/details/ports/2990/name=Kochi,12,0.6 days,HIGH,1.1 days,HIGH,3.4 days,1.3 days,0.0%,0.0%
Kattupalli,https://www.marinetraffic.com/en/ais/details/ports/18979/name=Kattupalli,12,0.1 days,LOW,0.5 days,LOW,0.3 days,0.5 days,0.0%,-37.5%
Karwar,https://www.marinetraffic.com/en/ais/details/ports/557/name=Karwar,12,0.6 days,MEDIUM,2.3 days,MEDIUM,0.9 days,1.4 days,-68.4%,27.8%
Karaikal,https://www.marinetraffic.com/en/ais/details/ports/18978/name=Karaikal,12,0.6 days,LOW,4.5 days,LOW,1.6 days,1.4 days,100.0%,114.3%
Kandla,https://www.marinetraffic.com/en/ais/details/ports/269/name=Kandla,12,0.8 days,LOW,2.0 days,LOW,1.4 days,2.9 days,-38.5%,11.1%
Kakinada,https://www.marinetraffic.com/en/ais/details/ports/18914/name=Kakinada,12,0.1 days,LOW,4.3 days,LOW,0.6 days,5.7 days,-92.3%,0.0%
Jaigad,https://www.marinetraffic.com/en/ais/details/ports/18951/name=Jaigad,12,0.4 days,LOW,0.8 days,LOW,0.8 days,0.7 days,-73.3%,14.3%
Jafrabad,https://www.marinetraffic.com/en/ais/details/ports/3078/name=Jafrabad,12,1.3 days,HIGH,0.5 days,HIGH,0.5 days,0.1 days,44.4%,0.0%
Hazira,https://www.marinetraffic.com/en/ais/details/ports/537/name=Hazira,12,1.5 days,MEDIUM,1.0 days,MEDIUM,2.6 days,1.2 days,200.0%,0.0%
Haldia,https://www.marinetraffic.com/en/ais/details/ports/18985/name=Haldia,12,0.8 days,LOW,2.0 days,LOW,2.3 days,1.5 days,-63.6%,33.3%
Gangavaram,https://www.marinetraffic.com/en/ais/details/ports/18980/name=Gangavaram,12,1.3 days,LOW,2.8 days,LOW,1.9 days,1.9 days,1200.0%,12.0%
Ennore,https://www.marinetraffic.com/en/ais/details/ports/791/name=Ennore,12,0.9 days,HIGH,1.4 days,HIGH,1.5 days,1.1 days,-50.0%,0.0%
Dighi,https://www.marinetraffic.com/en/ais/details/ports/18948/name=Dighi,12,0.2 days,MEDIUM,3.1 days,MEDIUM,-81.8%,-6.1%,-,-
Dharamtar,https://www.marinetraffic.com/en/ais/details/ports/21601/name=Dharamtar,12,0.9 days,LOW,0.6 days,LOW,0.6 days,2.6 days,12.5%,20.0%
Dhamra,https://www.marinetraffic.com/en/ais/details/ports/20607/name=Dhamra,12,0.3 days,LOW,3.0 days,LOW,0.6 days,1.2 days,-66.7%,0.0%
Dahej,https://www.marinetraffic.com/en/ais/details/ports/535/name=Dahej,12,0.2 days,HIGH,1.4 days,HIGH,0.7 days,0.9 days,0.0%,0.0%
Cuddalore,https://www.marinetraffic.com/en/ais/details/ports/24893/name=Cuddalore,12,MEDIUM,1.3 days,MEDIUM,8.3%,-,-,-,-
Chennai,https://www.marinetraffic.com/en/ais/details/ports/792/name=Chennai,12,0.1 days,HIGH,1.6 days,HIGH,0.7 days,1.1 days,-50.0%,-15.8%
Bhavnagar new port,https://www.marinetraffic.com/en/ais/details/ports/22247/name=Bhavnagar-new-port,12,0.3 days,MEDIUM,0.1 days,MEDIUM,0.3 days,0.5 days,0.0%,0.0%
Beypore,https://www.marinetraffic.com/en/ais/details/ports/18969/name=Beypore,12,0.2 days,MEDIUM,2.1 days,MEDIUM,0.9 days,11.1 days,0.0%,-30.0%
Visakhapatnam,https://www.marinetraffic.com/en/ais/details/ports/3048/name=Visakhapatnam,11,0.6 days,LOW,1.8 days,LOW,3.8 days,2.9 days,200.0%,-28.0%
Vadinar,https://www.marinetraffic.com/en/ais/details/ports/559/name=Vadinar,11,1.0 days,LOW,1.3 days,LOW,2.0 days,0.5 days,-50.0%,-18.8%
Tuticorin,https://www.marinetraffic.com/en/ais/details/ports/2986/name=Tuticorin,11,0.5 days,LOW,2.0 days,LOW,1.7 days,1.1 days,25.0%,17.6%
Sikka,https://www.marinetraffic.com/en/ais/details/ports/560/name=Sikka,11,1.8 days,MEDIUM,1.5 days,MEDIUM,2.8 days,0.7 days,28.6%,7.1%
Ratnagiri,https://www.marinetraffic.com/en/ais/details/ports/18952/name=Ratnagiri,11,0.9 days,MEDIUM,1.1 days,MEDIUM,0.5 days,0.5 days,-43.8%,175.0%
Ranpar,https://www.marinetraffic.com/en/ais/details/ports/18953/name=Ranpar,11,0.4 days,LOW,0.6 days,LOW,0.2 days,0.4 days,-,-
Port blair,https://www.marinetraffic.com/en/ais/details/ports/21891/name=Port-blair,11,LOW,1.2 days,LOW,-7.7%,-,-,-,-
Porbandar,https://www.marinetraffic.com/en/ais/details/ports/538/name=Porbandar,11,2.0 days,MEDIUM,2.1 days,MEDIUM,1.4 days,1.3 days,42.9%,50.0%
Pipavav,https://www.marinetraffic.com/en/ais/details/ports/533/name=Pipavav,11,0.6 days,MEDIUM,0.8 days,MEDIUM,1.1 days,1.1 days,500.0%,0.0%
Paradip,https://www.marinetraffic.com/en/ais/details/ports/17379/name=Paradip,11,2.1 days,LOW,1.8 days,LOW,2.3 days,2.5 days,10.5%,5.9%
Okha,https://www.marinetraffic.com/en/ais/details/ports/558/name=Okha,11,3.9 days,MEDIUM,4.1 days,MEDIUM,-75.8%,127.8%,-,-
Nhava sheva,https://www.marinetraffic.com/en/ais/details/ports/2713/name=Nhava-sheva,11,0.4 days,LOW,1.0 days,LOW,4.1 days,2.3 days,0.0%,11.1%
Navlakhi,https://www.marinetraffic.com/en/ais/details/ports/21448/name=Navlakhi,11,1.0 days,HIGH,1.8 days,HIGH,0.9 days,2.9 days,42.9%,100.0%
Mundra,https://www.marinetraffic.com/en/ais/details/ports/268/name=Mundra,11,0.1 days,HIGH,1.0 days,HIGH,0.6 days,0.9 days,-50.0%,0.0%
Mumbai,https://www.marinetraffic.com/en/ais/details/ports/2341/name=Mumbai,11,0.7 days,LOW,1.8 days,LOW,3.4 days,14.1 days,75.0%,-21.7%
Mormugao,https://www.marinetraffic.com/en/ais/details/ports/561/name=Mormugao,11,1.4 days,MEDIUM,2.4 days,MEDIUM,1.1 days,18.2 days,0.0%,33.3%
Mangalore,https://www.marinetraffic.com/en/ais/details/ports/17383/name=Mangalore,11,0.5 days,HIGH,1.6 days,HIGH,0.9 days,0.9 days,-16.7%,0.0%
Magdalla,https://www.marinetraffic.com/en/ais/details/ports/19704/name=Magdalla,11,0.3 days,HIGH,0.5 days,HIGH,0.3 days,0.3 days,-25.0%,0.0%
Krishnapatnam,https://www.marinetraffic.com/en/ais/details/ports/1317/name=Krishnapatnam,11,1.7 days,LOW,2.6 days,LOW,1.2 days,3.1 days,325.0%,8.3%
Kolkata,https://www.marinetraffic.com/en/ais/details/ports/2806/name=Kolkata,11,1.2 days,HIGH,2.8 days,HIGH,1.7 days,14.4 days,20.0%,21.7%
Kochi,https://www.marinetraffic.com/en/ais/details/ports/2990/name=Kochi,11,0.6 days,MEDIUM,1.1 days,MEDIUM,1.4 days,1.1 days,50.0%,-15.4%
Kattupalli,https://www.marinetraffic.com/en/ais/details/ports/18979/name=Kattupalli,11,0.0 days,LOW,0.8 days,LOW,0.1 days,16.2 days,0.0%,-33.3%
Karwar,https://www.marinetraffic.com/en/ais/details/ports/557/name=Karwar,11,1.9 days,MEDIUM,1.8 days,MEDIUM,1.3 days,0.4 days,216.7%,63.6%
Karaikal,https://www.marinetraffic.com/en/ais/details/ports/18978/name=Karaikal,11,0.3 days,MEDIUM,2.1 days,MEDIUM,0.4 days,-40.0%,-4.5%,-
Kandla,https://www.marinetraffic.com/en/ais/details/ports/269/name=Kandla,11,1.3 days,HIGH,1.8 days,HIGH,1.4 days,2.0 days,-13.3%,-10.0%
Kakinada,https://www.marinetraffic.com/en/ais/details/ports/18914/name=Kakinada,11,0.7 days,MEDIUM,2.7 days,MEDIUM,0.8 days,10.1 days,133.3%,28.6%
Jaigad,https://www.marinetraffic.com/en/ais/details/ports/18951/name=Jaigad,11,1.5 days,LOW,0.7 days,LOW,1.0 days,0.9 days,1400.0%,40.0%
Jafrabad,https://www.marinetraffic.com/en/ais/details/ports/3078/name=Jafrabad,11,0.9 days,HIGH,0.5 days,HIGH,0.4 days,0.1 days,-30.8%,0.0%
Hazira,https://www.marinetraffic.com/en/ais/details/ports/537/name=Hazira,11,0.5 days,HIGH,1.0 days,HIGH,1.8 days,1.4 days,-50.0%,-9.1%
Haldia,https://www.marinetraffic.com/en/ais/details/ports/18985/name=Haldia,11,1.3 days,HIGH,1.5 days,HIGH,1.7 days,1.5 days,62.5%,0.0%
Ghogha,https://www.marinetraffic.com/en/ais/details/ports/22248/name=Ghogha,11,LOW,11.1 days,LOW,516.7%,-,-,-,-
Gangavaram,https://www.marinetraffic.com/en/ais/details/ports/18980/name=Gangavaram,11,0.1 days,HIGH,2.5 days,HIGH,0.3 days,1.2 days,0.0%,31.6%
Ennore,https://www.marinetraffic.com/en/ais/details/ports/791/name=Ennore,11,0.7 days,HIGH,1.4 days,HIGH,1.4 days,0.8 days,-61.1%,0.0%
Dighi,https://www.marinetraffic.com/en/ais/details/ports/18948/name=Dighi,11,0.4 days,MEDIUM,1.0 days,MEDIUM,11.1%,-,-,-
Dharamtar,https://www.marinetraffic.com/en/ais/details/ports/21601/name=Dharamtar,11,0.8 days,LOW,0.5 days,LOW,11.4 days,0.7 days,0.0%,0.0%
Dhamra,https://www.marinetraffic.com/en/ais/details/ports/20607/name=Dhamra,11,0.9 days,LOW,3.0 days,LOW,1.5 days,3.9 days,-30.8%,36.4%
Dahej,https://www.marinetraffic.com/en/ais/details/ports/535/name=Dahej,11,0.2 days,HIGH,1.4 days,HIGH,1.2 days,2.0 days,-60.0%,27.3%
Dabhol,https://www.marinetraffic.com/en/ais/details/ports/18950/name=Dabhol,11,0.0 days,MEDIUM,1.2 days,MEDIUM,0.0 days,0.0%,-,-
Chennai,https://www.marinetraffic.com/en/ais/details/ports/792/name=Chennai,11,0.2 days,LOW,1.9 days,LOW,0.8 days,2.0 days,100.0%,-5.0%
Bhavnagar new port,https://www.marinetraffic.com/en/ais/details/ports/22247/name=Bhavnagar-new-port,11,0.3 days,MEDIUM,0.1 days,MEDIUM,0.1 days,5.7 days,-25.0%,0.0%
Beypore,https://www.marinetraffic.com/en/ais/details/ports/18969/name=Beypore,11,0.0 days,MEDIUM,3.0 days,MEDIUM,0.7 days,3.3 days,0.0%,-45.5%
Visakhapatnam,https://www.marinetraffic.com/en/ais/details/ports/3048/name=Visakhapatnam,10,0.2 days,HIGH,2.5 days,HIGH,1.8 days,2.0 days,-50.0%,4.2%
Vadinar,https://www.marinetraffic.com/en/ais/details/ports/559/name=Vadinar,10,2.0 days,HIGH,1.6 days,HIGH,1.7 days,0.5 days,100.0%,0.0%
Tuticorin,https://www.marinetraffic.com/en/ais/details/ports/2986/name=Tuticorin,10,0.4 days,HIGH,1.7 days,HIGH,0.5 days,1.2 days,-20.0%,-10.5%
Sikka,https://www.marinetraffic.com/en/ais/details/ports/560/name=Sikka,10,1.4 days,LOW,1.4 days,LOW,1.9 days,0.4 days,-12.5%,-17.6%
Ratnagiri,https://www.marinetraffic.com/en/ais/details/ports/18952/name=Ratnagiri,10,0.8 days,MEDIUM,0.5 days,MEDIUM,-20.0%,25.0%,-,-
