ag-cell-content-link,ag-cell-content-link href,ag-cell-content 3,ag-cell-content 6,ag-cell-content 7,ag-cell-content 8,ag-cell-content 9,ag-cell-content 10,ag-cell-content 11,ag-cell-content 12,ag-cell-content 13,ag-cell-content 14
Vadinar,https://www.marinetraffic.com/en/ais/details/ports/559/name=Vadinar,23,0.8 days,LOW,1.6 days,LOW,0.8 days,0.6 days,-27.3%,14.3%,
Tuticorin,https://www.marinetraffic.com/en/ais/details/ports/2986/name=Tuticorin,23,0.7 days,LOW,1.8 days,LOW,2.8 days,1.7 days,-30.0%,38.5%,
Sikka,https://www.marinetraffic.com/en/ais/details/ports/560/name=Sikka,23,1.6 days,LOW,1.6 days,LOW,3.3 days,0.7 days,-36.0%,6.7%,
Port blair,https://www.marinetraffic.com/en/ais/details/ports/21891/name=Port-blair,23,MEDIUM,4.2 days,MEDIUM,2.5 days,40.0%,-,-,-,
Porbandar,https://www.marinetraffic.com/en/ais/details/ports/538/name=Porbandar,23,1.4 days,MEDIUM,2.0 days,MEDIUM,133.3%,17.6%,-,-,
Pipavav,https://www.marinetraffic.com/en/ais/details/ports/533/name=Pipavav,23,0.3 days,LOW,0.6 days,LOW,2.4 days,0.7 days,-25.0%,-25.0%,
Paradip,https://www.marinetraffic.com/en/ais/details/ports/17379/name=Paradip,23,0.7 days,HIGH,1.6 days,HIGH,4.7 days,1.8 days,-50.0%,0.0%,
Nhava sheva,https://www.marinetraffic.com/en/ais/details/ports/2713/name=Nhava-sheva,23,0.8 days,HIGH,1.0 days,HIGH,4.1 days,1.9 days,14.3%,11.1%,
Navlakhi,https://www.marinetraffic.com/en/ais/details/ports/21448/name=Navlakhi,23,0.7 days,LOW,0.8 days,LOW,0.6 days,1.1 days,-22.2%,-33.3%,
Mundra,https://www.marinetraffic.com/en/ais/details/ports/268/name=Mundra,23,0.8 days,HIGH,1.1 days,HIGH,2.8 days,1.5 days,60.0%,0.0%,
Mumbai,https://www.marinetraffic.com/en/ais/details/ports/2341/name=Mumbai,23,0.8 days,HIGH,0.8 days,HIGH,3.5 days,4.5 days,14.3%,33.3%,
Mormugao,https://www.marinetraffic.com/en/ais/details/ports/561/name=Mormugao,23,0.4 days,LOW,1.9 days,LOW,2.2 days,1.1 days,-20.0%,-29.6%,
Mangalore,https://www.marinetraffic.com/en/ais/details/ports/17383/name=Mangalore,23,1.4 days,HIGH,1.4 days,HIGH,2.9 days,0.9 days,-36.4%,0.0%,
Magdalla,https://www.marinetraffic.com/en/ais/details/ports/19704/name=Magdalla,23,0.3 days,LOW,1.0 days,LOW,0.3 days,0.6 days,0.0%,0.0%,
Krishnapatnam,https://www.marinetraffic.com/en/ais/details/ports/1317/name=Krishnapatnam,23,1.8 days,HIGH,2.6 days,HIGH,3.1 days,2.9 days,125.0%,4.0%,
Kolkata,https://www.marinetraffic.com/en/ais/details/ports/2806/name=Kolkata,23,1.0 days,MEDIUM,2.8 days,MEDIUM,0.3 days,1.0 days,-9.1%,0.0%,
Kochi,https://www.marinetraffic.com/en/ais/details/ports/2990/name=Kochi,23,0.6 days,HIGH,0.8 days,HIGH,2.2 days,0.7 days,100.0%,0.0%,
Kattupalli,https://www.marinetraffic.com/en/ais/details/ports/18979/name=Kattupalli,23,0.4 days,LOW,0.6 days,LOW,0.5 days,100.0%,0.0%,-,
Karwar,https://www.marinetraffic.com/en/ais/details/ports/557/name=Karwar,23,2.3 days,LOW,2.8 days,LOW,1.4 days,1.4 days,2200.0%,0.0%,
Karaikal,https://www.marinetraffic.com/en/ais/details/ports/18978/name=Karaikal,23,MEDIUM,2.0 days,MEDIUM,0.4 days,-9.1%,-,-,-,
Kandla,https://www.marinetraffic.com/en/ais/details/ports/269/name=Kandla,23,2.9 days,LOW,1.7 days,LOW,9.0 days,2.2 days,-25.6%,-5.6%,
Kakinada,https://www.marinetraffic.com/en/ais/details/ports/18914/name=Kakinada,23,0.9 days,LOW,4.5 days,LOW,1.9 days,6.4 days,-55.0%,95.7%,
Jaigad,https://www.marinetraffic.com/en/ais/details/ports/18951/name=Jaigad,23,4.6 days,LOW,0.8 days,LOW,4.0 days,1.9 days,142.1%,-20.0%,
Jafrabad,https://www.marinetraffic.com/en/ais/details/ports/3078/name=Jafrabad,23,0.8 days,LOW,0.3 days,LOW,0.0 days,0.1 days,14.3%,0.0%,
Hazira,https://www.marinetraffic.com/en/ais/details/ports/537/name=Hazira,23,0.8 days,LOW,1.4 days,LOW,2.7 days,2.1 days,33.3%,40.0%,
Haldia,https://www.marinetraffic.com/en/ais/details/ports/18985/name=Haldia,23,0.7 days,HIGH,1.8 days,HIGH,2.6 days,1.0 days,0.0%,-5.3%,
Ghogha,https://www.marinetraffic.com/en/ais/details/ports/22248/name=Ghogha,23,MEDIUM,6.1 days,MEDIUM,154.2%,-,-,-,-,
Gangavaram,https://www.marinetraffic.com/en/ais/details/ports/18980/name=Gangavaram,23,2.0 days,LOW,2.9 days,LOW,1.2 days,1.6 days,122.2%,-30.9%,
Ennore,https://www.marinetraffic.com/en/ais/details/ports/791/name=Ennore,23,1.7 days,HIGH,1.4 days,HIGH,2.8 days,1.0 days,21.4%,-6.7%,
Dharamtar,https://www.marinetraffic.com/en/ais/details/ports/21601/name=Dharamtar,23,0.8 days,LOW,0.5 days,LOW,2.8 days,5.5 days,14.3%,-16.7%,
Dhamra,https://www.marinetraffic.com/en/ais/details/ports/20607/name=Dhamra,23,2.2 days,LOW,2.3 days,LOW,3.4 days,1.6 days,46.7%,-8.0%,
Dahej,https://www.marinetraffic.com/en/ais/details/ports/535/name=Dahej,23,2.1 days,HIGH,1.2 days,HIGH,4.8 days,1.5 days,320.0%,0.0%,
Cuddalore,https://www.marinetraffic.com/en/ais/details/ports/24893/name=Cuddalore,23,MEDIUM,1.2 days,MEDIUM,20.0%,-,-,-,-,
Chennai,https://www.marinetraffic.com/en/ais/details/ports/792/name=Chennai,23,0.6 days,LOW,2.0 days,LOW,1.6 days,2.1 days,20.0%,25.0%,
Beypore,https://www.marinetraffic.com/en/ais/details/ports/18969/name=Beypore,23,0.7 days,LOW,3.3 days,LOW,250.0%,-72.7%,-,-,
Visakhapatnam,https://www.marinetraffic.com/en/ais/details/ports/3048/name=Visakhapatnam,22,1.4 days,HIGH,2.3 days,HIGH,2.6 days,2.2 days,0.0%,0.0%,
Vadinar,https://www.marinetraffic.com/en/ais/details/ports/559/name=Vadinar,22,1.1 days,LOW,1.4 days,LOW,1.9 days,0.6 days,37.5%,0.0%,
Tuticorin,https://www.marinetraffic.com/en/ais/details/ports/2986/name=Tuticorin,22,1.0 days,LOW,1.3 days,LOW,2.2 days,1.9 days,25.0%,-56.7%,
Sikka,https://www.marinetraffic.com/en/ais/details/ports/560/name=Sikka,22,2.5 days,LOW,1.5 days,LOW,2.9 days,1.4 days,78.6%,7.1%,
Port blair,https://www.marinetraffic.com/en/ais/details/ports/21891/name=Port-blair,22,MEDIUM,3.0 days,MEDIUM,5.2 days,-23.1%,-,-,-,
Pipavav,https://www.marinetraffic.com/en/ais/details/ports/533/name=Pipavav,22,0.4 days,LOW,0.8 days,LOW,0.4 days,1.2 days,100.0%,33.3%,
Paradip,https://www.marinetraffic.com/en/ais/details/ports/17379/name=Paradip,22,1.4 days,LOW,1.6 days,LOW,1.9 days,1.9 days,-6.7%,-20.0%,
Nhava sheva,https://www.marinetraffic.com/en/ais/details/ports/2713/name=Nhava-sheva,22,0.7 days,LOW,0.9 days,LOW,2.0 days,1.3 days,-12.5%,-10.0%,
Navlakhi,https://www.marinetraffic.com/en/ais/details/ports/21448/name=Navlakhi,22,0.9 days,MEDIUM,1.2 days,MEDIUM,2.5 days,2.0 days,-64.0%,-45.5%,
Mundra,https://www.marinetraffic.com/en/ais/details/ports/268/name=Mundra,22,0.8 days,HIGH,1.2 days,HIGH,3.7 days,2.5 days,14.3%,0.0%,
Mumbai,https://www.marinetraffic.com/en/ais/details/ports/2341/name=Mumbai,22,0.7 days,LOW,0.6 days,LOW,3.0 days,4.7 days,-12.5%,-40.0%,
Mormugao,https://www.marinetraffic.com/en/ais/details/ports/561/name=Mormugao,22,0.3 days,LOW,4.0 days,LOW,0.2 days,3.7 days,0.0%,37.9%,
